GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,Engine,288,845,30,76,71,218,33,62,9,33
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,Engine.Mode,9,103,0,0,0,10,2,4,2,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,AnalysisTask,57,66,0,4,8,20,0,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NuspecAnalyzer,42,106,8,4,3,25,6,8,0,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractSuppressionAnalyzer,120,195,23,21,21,52,16,15,2,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,OpenSSLAnalyzer,12,192,4,10,3,31,4,13,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonPackageAnalyzer,7,294,3,15,2,63,3,19,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer,71,230,12,10,17,47,9,13,1,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NodePackageAnalyzer,55,195,10,12,6,42,8,12,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyMergingAnalyzer,31,255,16,44,10,54,17,26,1,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractFileTypeAnalyzer,9,58,1,7,2,20,2,9,1,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CMakeAnalyzer,11,294,1,9,4,67,1,14,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AssemblyAnalyzer,451,247,61,19,92,58,39,12,1,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,VulnerabilitySuppressionAnalyzer,1,35,2,4,1,10,2,7,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ComposerLockAnalyzer,44,189,6,4,3,37,4,10,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalyzerService,5,69,0,8,2,21,0,9,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractAnalyzer,9,56,0,6,3,22,0,13,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CocoaPodsAnalyzer,7,203,3,9,2,43,3,13,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalysisPhase,5,123,0,0,0,12,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer,97,977,22,112,31,203,21,67,0,21
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AutoconfAnalyzer,11,285,6,28,2,60,5,23,0,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,VersionFilterAnalyzer,0,231,1,67,0,34,1,39,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ArchiveAnalyzer,539,734,83,83,83,154,63,39,0,19
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NexusAnalyzer,256,47,41,1,58,15,24,8,3,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CentralAnalyzer,102,200,22,22,18,53,15,17,0,10
